id,grade,anchor,estimate_flag,na_mode,type,target_dist,seeded_n,seeded_na,seeded_top
REW264_GOV_AIPAYREVIEW,A,31% of employers reflect AI proficiency in pay decisions,,none,single_select,"{""No"": 0.69, ""Yes formally"": 0.1771, ""Yes informally"": 0.0886, ""Planned"": 0.0443}",220,0,No 69%; Yes formally 18%; Yes informally 9%
REW264_PEN_SALSACIMPACT,A,51% of employers believe the £2k sal-sac cap will increase their costs,,wired:REW26_BEN_SALSAC,single_select,"{""Not yet"": 0.49, ""Yes modelled"": 0.34, ""High-level review"": 0.17}",220,89,Not yet 49%; Yes modelled 34%; High-level review 17%
REW264_PEN_SALSACRESPONSE,E,No published intention split yet (maintain/restructure/withdraw),YES,wired:REW26_BEN_SALSAC,single_select,"{""Maintain scheme unchanged"": 0.7, ""Restructure (e.g. employer contributions)"": 0.1714, ""Withdraw sal-sac"": 0.0857, ""Undecided"": 0.0429}",220,89,Maintain scheme unchanged 70%; Restructure (e.g. employer c 17%; Withdraw sal-sac 8%
REW264_PEN_NICSHARING,E,Pass-through sharing prevalence unpublished,YES,wired:REW26_BEN_SALSAC,single_select,"{""No"": 0.7, ""Yes fully"": 0.2, ""Yes partially"": 0.1}",220,89,No 70%; Yes fully 20%; Yes partially 10%
REW264_PEN_CONTRIBTIER,E,Tenure/age tiering prevalence unpublished; DC surveys report levels no,YES,self-declared:0.08,single_select,"{""No flat structure"": 0.7, ""Yes service-linked"": 0.2, ""Yes age-linked"": 0.1}",220,16,No flat structure 70%; Yes service-linked 20%; Yes age-linked 10%
REW264_PEN_AEDEFAULT,—,Majority of AE savers understood to sit at statutory default,,self-declared:0.06,single_select,"{""Statutory minimum only"": 0.65, ""1-2pp above"": 0.2, ""3pp+ above"": 0.1, ""Opt-up default (auto-escalation)"": 0.05}",220,18,Statutory minimum only 65%; 1-2pp above 20%; 3pp+ above 10%
REW264_PEN_AUTOESC,—,UK employer adoption low; trial-stage,,none,single_select,"{""No"": 0.65, ""Yes default"": 0.2333, ""Yes opt-in"": 0.1167}",220,0,No 65%; Yes default 23%; Yes opt-in 12%
REW264_PEN_PENLEAVEGAP,E,Employer contribution during unpaid parental/carer leave unpublished,YES,none,single_select,"{""No"": 0.7, ""Yes"": 0.2, ""Case-by-case"": 0.1}",220,0,No 70%; Yes 20%; Case-by-case 10%
REW264_PEN_MIDLIFEMOT,—,Employer-offered midlife MOT counts may exist,,none,single_select,"{""No"": 0.65, ""Yes structured programme"": 0.2333, ""Signposting only"": 0.1167}",220,0,No 65%; Yes structured programme 23%; Signposting only 12%
REW264_PEN_GREENDEFAULT,—,Share of DC defaults with net-zero commitment,,self-declared:0.10,single_select,"{""Yes net-zero aligned"": 0.65, ""ESG-tilted"": 0.2, ""Standard default"": 0.1, ""Unsure"": 0.05}",220,18,Yes net-zero aligned 65%; ESG-tilted 20%; Standard default 10%
REW264_PEN_CONTRIBFLEX,E,Flex-down-with-restore prevalence: provider research only,YES,none,single_select,"{""No"": 0.7, ""Yes formal flexibility"": 0.2, ""Informal"": 0.1}",220,0,No 70%; Yes formal flexibility 20%; Informal 10%
REW264_PEN_SIDECAR,E,Sidecar/emergency-savings at trial stage; no prevalence,YES,none,multi_select,"{""None"": 0.7, ""Workplace ISA/GIA"": 0.1714, ""Sidecar/emergency savings"": 0.0857, ""Credit union payroll deduction"": 0.0429}",220,0,None 74%; Workplace ISA/GIA 12%; Credit union payroll deducti 6%
REW264_PEN_HELPTOSAVE,E,Employer signposting unpublished; HMRC publishes account stats (indivi,YES,none,single_select,"{""No"": 0.7, ""Actively promote"": 0.2, ""Signpost"": 0.1}",220,0,No 70%; Actively promote 20%; Signpost 10%
REW264_PEN_PAYROLLLOANS,—,Payroll-deducted loan scheme prevalence,,none,single_select,"{""No"": 0.65, ""Payroll-deducted loan scheme"": 0.2, ""Internal hardship fund"": 0.1, ""Both"": 0.05}",220,0,No 65%; Payroll-deducted loan scheme 20%; Internal hardship fund 10%
REW264_PEN_PAYROLLGIVING,A,"~4,000 organisations provide payroll giving of 45,000+ that could (~9%",,none,single_select,"{""No"": 0.91, ""Yes with employer match"": 0.06, ""Yes unmatched"": 0.03}",220,0,No 91%; Yes with employer match 6%; Yes unmatched 3%
REW264_WEL_EWA,A,~4m UK workers covered by EWA (Apr 2026); CIPP Code of Practice in for,,none,single_select,"{""No"": 0.65, ""Yes all eligible"": 0.2, ""Yes hourly/frontline only"": 0.1, ""Piloting"": 0.05}",220,0,No 65%; Yes all eligible 20%; Yes hourly/frontline only 10%
