metric_id,class,disposition,home,subject_verified,home_current_anchor,proposed_edit,reasoning
REW_BEN_FAM_012,MISMAP,CONFLICT,REW263_GOV_MENOPLAN,False,Aon 2025: 57% of large UK employers now provide menopause training and information (up sharply from 25% in 2022). NOTE: this question asks about a published men,REW_BEN_FAM_012.real_anchor -> blank + EST flag (no paid-menopause-leave prevalence found; contrast REW263_TIME_FERTLEAVE where CIPD does carry a 22% paid-time-off figure); the CIPD 2023 policy-prevalence figure (24% standalone / 16% wider = ~40% any policy / 29% planning) is offered to REW263_GOV_MENOPLAN as a PROXY-WITH-CAVEAT replacement for its incumbent Grade-C Aon 57% training/info proxy — c,"Audit finding confirmed: the question asks one specific provision — PAID LEAVE for menopause (options: Yes specific paid leave / Support but no paid leave / No provision / DK) — and the anchor measures policy prevalence plus a support-type menu that contains no paid-leave line, so it cannot ground the seed in either direction. Home search: no menopause policy-existence or support-types metric exis"
REW_BEN_HOL_006,MISMAP,CONFLICT,REW_BEN_HOL_004,True,Additional annual leave based on length of service: present in 57% of agreements (56/98 employers show >1 distinct leave value across service bands). [IDR Payli,"REW_BEN_HOL_006.real_anchor -> blank + EST flag (buy-max question has no purchase-scheme figure; nearest context is Drewberry '18.8% allow buy/sell of up to 5 days' on REW_BEN_HOL_003); the Payline service-uplift quantum figure moves to REW_BEN_HOL_004 — David to rule whether it is APPENDED as the quantum companion to the existing 57% prevalence anchor (recommended: same source, complementary quan","Audit finding confirmed: pure vocabulary overlap on 'additional leave' — the question asks holiday-PURCHASE maximum (options: Not applicable / Up to 5 days / 6-10 days / More than 10 days), the figure measures LENGTH-OF-SERVICE uplift. Home verification: REW_BEN_HOL_004 passes the subject test — the figure ('leave rises ~25 days at 1yr to ~28-29 days at 5-15yr; typical uplift 3-5 days') genuinely "
REW263_PAY_MERITMATRIX,MISMAP,MOVE,REW_PAY_097,True,"unanchored - needs research (real_anchor blank, no collision)","REW_PAY_097.real_anchor <- 'Merit pay (permanent rises from individual performance assessment) used by 41% of employers for MPT staff, 29% for other staff (private sector 48%/33%)' with CIPD PPT 2024 source/base copied across and the broader '60% link pay/bonus to performance' clause retained only as caveated context; REW263_PAY_MERITMATRIX.real_anchor -> blank + EST flag.","Mis-map confirmed: REW263_PAY_MERITMATRIX's live options are No / Performance only / Full merit matrix — the anchor cannot split matrix-users from generic merit-pay users (the register's own notes already conceded 'matrix is a subset', hence the B grade). Subject test at the suspected home passes cleanly: merit pay is BY DEFINITION permanent pay rises determined by individual performance assessmen"
REW26_BEN_PENSION_TYPE,MISMAP,MOVE,REW26_BEN_PLSA_QM,False,"UNANCHORED: status ESTIMATE-FLAGGED (no published prevalence), real_anchor = 'PLSA quality-mark threshold prevalence not in these sources', grade EST. NOTE: the","REW26_BEN_PENSION_TYPE.real_anchor -> blank + EST flag; figure moves to REW26_BEN_PLSA_QM.real_anchor as an explicit UPPER-BOUND PROXY: 'Min employer contribution >=6%: 29% all / 47% large / 28% SME (CIPD Reward Feb 2026). PROXY CAVEAT: >=6% employer is necessary but NOT sufficient for PQM (which also requires 12% total contributions), so true PQM prevalence is <=29% all-UK - upper bound, not exac","Mis-map confirmed: question asks scheme TYPE (DC/DB/hybrid, seeded 'DC 85%'); anchor measures contribution generosity - cannot calibrate the type split in any direction. Home verification: PLSA_QM's live DB question text confirmed, and its register row is genuinely unanchored (EST) despite the input claiming ANCHORED, making this a clean MOVE rather than CONFLICT. subject_match_verified is FALSE b"
REW_PAY_018,MISMAP,MOVE,REW_PAY_017,True,"unanchored - needs research (real_anchor blank, no collision)","REW_PAY_017.real_anchor <- '64% pay a call-out rate (Fixed-rate dominant; legacy detail Yes-Fixed 24 / Yes-%hourly 2 / No 15, n=42)' keeping Grade B and the legacy 2019-20 large-employer-skew base, with an added shape caveat (measures existence + form of call-out payment, supporting the Per-call-out vs Not-offered axis, not the full flat-per-period/per-day periodicity split); REW_PAY_018.real_anch","Mis-map confirmed: REW_PAY_018's live options are minimum-hours values (No minimum / 1 hour / 2 hours / 3+ hours) — a minimum-payment GUARANTEE question — and '64% pay a call-out rate' says nothing about whether a floor attaches (a payer in the 64% can pay actual time only). Subject test at the home: REW_PAY_017 asks how on-call/call-out compensation is delivered, and its option set explicitly inc"
PROP_8862fcad,MISMAP,REVISED,REW263_GOV_BENOBJ (77% component); REW263_WEL_FINWELL (15% component),True,"REW263_GOV_BENOBJ: 'Benefits linked to defined objectives: 77% have objectives; 22% none' (CIPD Reward Survey Feb 2026, all-UK, grade A) | REW263_WEL_FINWELL: '","PROP_8862fcad.real_anchor -> blank + status 'unanchored - needs research'/EST flag; BOTH component figures already live at their true homes with the same source (77% at REW263_GOV_BENOBJ, 15% at REW263_WEL_FINWELL) — nothing moves; the row needs its own documented-total-reward-strategy prevalence anchor.","Audit's finding of mis-map CONFIRMED, but its home for the second figure is corrected. (1) The 77% component: identical figure, identical source (CIPD Reward Feb 2026, n=1,059) already sits as the anchor on REW263_GOV_BENOBJ, whose live question it genuinely answers — pure duplicate, so this component simply clears. (2) The '15% formal FW policy' component: the audit glossed 'FW' as flexible worki"
REW26_WEL_FINWELL,MISMAP,REVISED,REW26_WEL_FINWELL,True,"'64% have financial wellbeing policy/strategy' — the mislabelled anchor on this same row; the alternative home REW263_WEL_FINWELL carries a DIFFERENT, David-loc","REW26_WEL_FINWELL.real_anchor stays anchored at 64% but is RELABELLED from '64% have financial wellbeing policy/strategy' to '64% offer a financial wellbeing programme/activity (broad any-programme measure, CIPD S29)'; the source field should be tightened to cite the exact CIPD survey wave the S29 programme figure comes from; no figure moves and REW263_WEL_FINWELL is untouched.","Audit's mis-map finding is PARTLY overturned: the ATTACHMENT is correct, the LABEL is the defect — this is the audit's own branch (a), which verification confirms against a standing ruling. The row's register notes (register is RULED authoritative) contain an explicit reconciliation and definition lock: 'RECONCILE (CIPD Feb 2026)... The 64% on this row is the older recalibrated FINWELL-PROGRAMME f"
REW263_GOV_MENOPLAN,MISMAP,PARK,,False,,"REW263_GOV_MENOPLAN.real_anchor -> blank + status 'unanchored - needs research'/EST flag, retaining the ERA-2025/2027-mandate legislative context in notes; the Aon figure ('menopause training/information 57% of large UK employers, up from 25% in 2022, Aon UK B&T 2025') moves to the parked-anchors note as the candidate anchor for a menopause-support-provision row if one is ever added.","Audit CONFIRMED: providing menopause training/information is not publishing a menopause action plan, and the base (broker survey, 49% are 500+ FTE) is large-skew on an all-employer question. The suspected home is textual-only ('a menopause support/training provision metric'), so I searched the register and the live questions table. Register metrics mentioning menopause: REW_BEN_FAM_012 ('Do you pr"
REW263_PAY_SSPALIGN,MISMAP,PARK,,False,n/a — no candidate home found,"REW263_PAY_SSPALIGN.real_anchor -> blank + EST flag with '62% think SSP too low' (CIPD H&W 2025) held in the parked-anchors note pending an attitudes-to-SSP metric; separately flag for David that this row's own notes already contain an on-subject candidate anchor — Brightmine ERA SSP Survey (Nov 2025, n=77, Grade C): 66.5% sick pay already in line / 9.7% more generous / 23.2% need to align / 18.7%","Mis-map confirmed: the question's live options (Not reviewed / Reviewing / Aligned / Aligned + enhanced OSP) demand an employer-ACTION distribution, and the only quantity in the anchor — '62% think SSP too low' — is sentiment about the statutory rate that is logically independent of alignment action (an employer can hold that view and have done nothing, or disagree and be fully aligned). The rest "
REW_BEN_FAM_005,MISMAP,PARK,,False,,REW_BEN_FAM_005.real_anchor -> blank + EST flag; the CIPD 2022 SPL take-up figures (85% of employers zero father/partner uptake in 2 yrs; ~2% of eligible couples; Grade A) PARKED for a future SPL-uptake/utilisation metric; replacement research action: extract an enhanced-ShPP PROVISION percentage from the same CIPD working-parents 2022 source (ref 8268) already cited on REW_BEN_FAM_001.,"Audit finding confirmed: question asks employer PROVISION of enhanced shared parental pay (options Yes / No statutory only / DK); anchor measures employee TAKE-UP of SPL, and the load-bearing clause 'Enhanced SPL pay correspondingly rare' is an inference from take-up, not a measured provision figure — same offer-vs-participate axis as calibration cases REW_BEN_102/REW_INC_103. Home search: no SPL "
