metric_id,sub_power,type,question,seeded_headline,n,status,anchor_source_flag,tranche,real_anchor,source,base,grade,notes,bucket,bucket_why
3faf1f0c-f753-497f-a395-384bba38c5e3,Benefits,matrix,What is the average annual private medical insurance (P,1410 2%,393,ESTIMATE-FLAGGED (no published prevalence),N/A,1 - benefit prevalence,No published avg PMI premium £ figure in these sources; leave estimate-flag,-,n/a,EST,Premium £ value not surveyed; keep honest prevalence/estimate-flag,MANUAL,no %-value in anchor
CAR_BN_02,Benefits,multi_select,What criteria are used to determine eligibility for a b,Business need 43%,188,unanchored - needs research,,1 - benefit prevalence,,,,,,,
CAR_COST_02,Benefits,single_select,Are low-emission or electric vehicles mandated or prior,Yes 52%,213,unanchored - needs research,,1 - benefit prevalence,,,,,"legacy reference (adjacent): salary-sacrifice low-emission car scheme In-place 12 / Would-consider 27 / Would-not 29 (18% in place), n=68, 2019-20 - EV-sacrifice adoption has since grown materially [2026-06-21] || UPDATE (HRDH Talent22, n=165 large UK cos): salary-sacrifice low-emission car scheme 36% implemented + 34% considering (=70% use-or-considering) by 2022 - confirms the strong growth the 2019-20 legacy note (18% in place) predicted. NB this measures SACRIFICE-SCHEME prevalence, NOT EV-mandating (this row's question) - reference only, do not anchor here.",,
CAR_STATUS_01,Benefits,single_select,Does your organisation provide company cars as a status,Yes 54%,212,ANCHORED,YES,1 - benefit prevalence,"Company car is predominantly a status/seniority benefit: ~37% of UK employers offer it (2% to all staff, 35% dependent on grade/seniority/role). Car allowance more common: ~47% (5% all, 42% dependent). All-employee car-ownership scheme rare (~8%).","CIPD ""Reward Management Survey 2022: Focus on employee benefits"" (April 2022, ref tcm18-108776). Employer survey: 280 UK reward professionals, Oct 2021 (private 70%); item base n=217 for transport benefits. Grade A with modest-sample caveat. Verified from source PDF.","All-UK employers, ~280 reward professionals (transport-benefit base n=217), CIPD Oct 2021, private-skewed. Employer-prevalence. ""All"" = offered to all staff; ""Dependent"" = offered to some by grade/seniority/role.",C,"CIPD RMS 2022 Grade A all-UK NEW ANCHOR: company car ~37% (2% all + 35% grade-dependent) - confirms status/seniority framing. Car allowance ~47%. Popularity ""remains undiminished despite COVID-19"". | legacy corrob: car allowance basis Status/Perk 23 / Status&Business 14 / Not-used 13 / Business-need 4, n=54 [2026-06-21] | legacy ref: where car is business-need, typical mileage threshold median 10,000 miles/yr (range 5k-15k), n=23 [2026-06-21] || GRADE ->C + RULED 0.35 not 0.37 (2026-07-16): grade-based figure matches question wording; base dated/small (CIPD Oct 2021, item base n~217, private-skew).",BASE_VARIANT,multi-base; use all-UK (first/headline)
CAR_STATUS_03,Benefits,single_select,Are employees eligible to choose between a status-based,Yes 59%,215,unanchored - needs research,,1 - benefit prevalence,,,,,,,
EXT_REW_GAP_012,Benefits,single_select,Are employee benefits reviewed regularly to assess rele,No 41%,180,ANCHORED,YES,1 - benefit prevalence,Benefits review: 26% regularly review benefits package to ensure fair; 83% with objectives review,"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",all-UK,A,"seeded ~59% review regularly - plausible; CIPD says 85% of goal-setters review (15% don't). Reasonable, maybe slightly low. | RS p31=26%; objectives-holders 83%",BASE_VARIANT,multi-base; use all-UK (first/headline)
PROP_11a83d52,Benefits,single_select,Do benefits or health plans include support that is exp,Partially / limited cove 64%,216,unanchored - needs research,,1 - benefit prevalence,,,,,,,
PROP_202fecc6,Benefits,single_select,Does the organisation track enrolment and utilisation f,No 37%,216,unanchored - needs research,,1 - benefit prevalence,,,,,,,
PROP_36b990f9,Benefits,single_select,What was employer pension contribution as a typical per,5%-7% 49%,217,ANCHORED (sourced this session),,1 - benefit prevalence,Employer 5-8% typical; 3% legal min,CIPD/Pensions Regulator 2025/26,mixed UK,A,"seeded '5%-7%' - sits in real range. Statutory floor 3%, typical 5-8%. Good. || CORROBORATION (Drewberry 2026, n=626): 76% of employers contribute above the 3% statutory minimum; most common employer rate 5% (26.2%), then 3% (22.4%). Consistent with the 5-8% typical / 3% floor anchor. Broker-book skew. || HISTORIC CORROBORATION (CIPD Reward Mgmt 2022, n=280): workplace pension with min employer contribution >=6% offered to-all by 51% (62% incl grade-dependent) in Oct 2021. Consistent with the 5-8% typical / above-3%-min picture; Drewberry 2026 puts above-3% at 76%. Grade B (2022) historic point.",DISTRIBUTION,headline vs seed band aggregate
PROP_3d4fc4e7,Benefits,single_select,What proportion of employees actively enrol in at least,50%-74% 30%,190,unanchored - needs research,,1 - benefit prevalence,,,,,,,
