metric_id,classification,dk_option,dk_n,dk_share_pct,render_n_now,render_n_post_strip,gated_in,ab_declared,confidence,rationale,flags
RED_PROC_03,a_strip,Don't know,23,10.5,220,197,,,high,'Are redundancy outcomes reviewed for fairness and bias?' — substantive states covered by Yes / No / 'Sometimes / ad hoc'. DK = respondent unsure whether reviews occur. True DK; strip 220->197.,"Largest DK volume in this batch (10.5% share, 23 answers deleted) — biggest single n-drop of the batch, but mechanically unambiguous."
RED_TERM_02,a_strip,Don't know,19,10.0,190,171,,,high,"Max redundancy multiple: inapplicability already has an explicit option ('Not applicable (statutory only / no enhancement)', n=77), so DK is residual true-DK. DB cross-tab: 16/18 DK-pickers report enhanced or discretionary terms on RED_TERM_01 — the question applies, they don't know the number (only","dk_share 10%; ODD DISTRIBUTION: zero mass in every numeric multiple band — all 190 answers sit in NA(77)/Varies(94)/DK(19), so post-strip the metric carries no numeric benchmark signal; separate redes"
RED_PROC_05,a_strip,Don't know,18,8.2,220,202,,,high,"Managers either are trained for redundancy conversations or not; 'No' (133) and 'Some managers only' (31) carry the substantive ground. DK = respondent unsure. No redundancy-occurrence gate exists in the RED_PROC family (process questions apply regardless of whether redundancies happened), so no c_r",
REW_BEN_FAM_008,a_strip,Don't know,18,8.5,212,194,marginal,,high,"""Do you provide paid emergency or compassionate leave?"" — 'No specific provision' is the substantive absence answer and 'Partially paid (case-by-case)' covers discretionary reality; DK is respondent unsureness. Strip: n-exclude 18 (212 -> 194).",gated_in: marginal; largest dk_n in this batch (8.5%) — base drops 18 but stays healthy at 194.
EXT_REW_GAP_007,a_strip,Don't know,17,9.6,177,160,,,medium,"Award-value question. 8/17 DK-pickers answered Yes on parent EXT_REW_GAP_004 (scheme exists) — for them DK is pure uncertainty about the value. But 6 answered No and 3 answered DK on the parent, i.e. 9/17 arguably shouldn't have seen this question at all (metric has gated_in=[] — no gate). Strip sti","Missing gate: recommend gating EXT_REW_GAP_007 on EXT_REW_GAP_004=Yes; 9/17 DK-pickers lack a confirmed parent Yes (6 No + 3 parent-DK), which is partial c_route_na evidence resolved identically by th"
REW_BEN_FAM_010,a_strip,Don't know,17,7.9,216,199,marginal,,high,"Paid volunteering leave: 'No specific provision' (n=139) captures genuine absence, 'Unpaid leave only' the intermediate state. DK = hasn't checked the policy. True DK; strip 216->199.",
EXT_REW_GAP_003,a_strip,Don't know,16,9.2,173,157,,,high,"Limits on recognition-award frequency either exist or don't; DK = unsure/hasn't checked. DB check: 13 of 16 DK orgs report an actual recognition budget on EXT_REW_GAP_001 (Up to £25 through More than £100, plus 1 'no dedicated budget'), so these orgs run recognition schemes — no N/A flavour. 'No lim",
ALLOW_04,a_strip,Don't know,16,7.3,220,204,,,high,"""Are allowances differentiated by role level?"" has a real answer for any org offering allowances. DB check: all 16 DK-pickers report offering allowances on ALLOW_01, so the question fully applies — respondent-level uncertainty only. Strip: 16 answers n-excluded (221 -> 204... note file says 220 -> 2",No N/A overlap — DK orgs all have allowances per ALLOW_01 cross-tab
REW_BEN_HOL_002,a_strip,Don't know,15,8.3,180,165,,answerer_only,high,"""How are UK bank holidays treated?"" — the applicability escape ('Not applicable') exists as a separate option and got zero picks; DB check shows all 15 DK orgs are UK-region orgs, so bank holidays plainly apply and DK is true unsureness (mixed estates are covered by 'A mix of both'). Strip: n-exclud","ab_declared=answerer_only for the separate 'Not applicable' option, currently inert (0 picks, render_n_now = n_raw = 180). Strip composes cleanly: remove only the DK option, keep NA + its declaration "
RED_TERM_03,a_strip,Don't know,15,8.1,186,171,,,high,"Cap-on-weeks value question. DB check: 14/15 DK-pickers reported enhanced or discretionary terms on RED_TERM_01 (9 enhanced standard formula, 5 discretionary, 1 statutory-only), so the question genuinely applies to them and DK is pure uncertainty about the cap figure. True DK; strip 186->171.",Two side observations: (1) the separate 'Not applicable (statutory only / no enhancement)' option (n=83) is an ab-route/c_route_na candidate in its own right but is NOT a dk_option here and is untouch
