metric_id,status,domain,classification,direction,type,priority,question,note
3faf1f0c-f753-497f-a395-384bba38c5e3,live,Health & Protection,market,cost (save-lens),matrix,,What is the average annual private medical insurance (P,market confirmed (R5)
CAR_BN_02,live,Benefits & Lifestyle,market,↑,multi_select,,What criteria are used to determine eligibility for a b,
CAR_COST_02,live,Benefits & Lifestyle,market,↑,single_select,,Are low-emission or electric vehicles mandated or prior,
CAR_STATUS_01,live,Benefits & Lifestyle,market,↑,single_select,,Does your organisation provide company cars as a status,
CAR_STATUS_03,live,Benefits & Lifestyle,market,↑,single_select,,Are employees eligible to choose between a status-based,
EXT_REW_GAP_012,live,Benefits & Lifestyle,market,↑ provision,single_select,,Are employee benefits reviewed regularly to assess rele,
PROP_11a83d52,live,Benefits & Lifestyle,market,↑,single_select,,Do benefits or health plans include support that is exp,
PROP_202fecc6,live,Benefits & Lifestyle,market,↑,single_select,,Does the organisation track enrolment and utilisation f,
PROP_36b990f9,live,Pensions & Savings,market,↑ (↓ for waiting/mileage),single_select,,What was employer pension contribution as a typical per,
PROP_3d4fc4e7,live,Benefits & Lifestyle,market,↑,single_select,,What proportion of employees actively enrol in at least,
PROP_7d858df2,live,Benefits & Lifestyle,market,↑,single_select,,"Are core benefits inclusive for LGBTQ+ employees (e.g.,",
PROP_c1a3da61,live,Benefits & Lifestyle,market,↑,single_select,,Do you offer relocation support for hires who need to m,
RED_COST_01,live,Benefits & Lifestyle,market,↑,single_select,,What was the average redundancy cost per employee in th,
RED_NOTICE_01,live,Benefits & Lifestyle,market,↑,single_select,,How is notice typically handled in redundancy situation,
RED_PAY_01,live,Benefits & Lifestyle,market,↑,single_select,,What pay basis is typically used to calculate redundanc,
RED_PROC_01,live,Benefits & Lifestyle,market,↑,yes_no,,Is there a documented redundancy process applied consis,
RED_PROC_02,live,Benefits & Lifestyle,market,↑,yes_no,,Are selection criteria for redundancy documented and ob,
RED_PROC_03,live,Benefits & Lifestyle,market,↑,yes_no,,Are redundancy outcomes reviewed for fairness and bias?,
RED_PROC_04,live,Benefits & Lifestyle,market,↑,single_select,,Is outplacement or career transition support offered?,
RED_PROC_05,live,Benefits & Lifestyle,market,↑,yes_no,,Are line managers trained to manage redundancy conversa,
RED_TERM_01,live,Benefits & Lifestyle,market,↑,single_select,,What redundancy pay terms does your organisation typica,
RED_TERM_02,live,Benefits & Lifestyle,market,↑,single_select,,"What is the maximum redundancy pay multiple offered, ex",
RED_TERM_03,live,Benefits & Lifestyle,market,↑,single_select,,What is the maximum number of weeks' pay used to calcul,
REW263_BEN_CICOVER,live-2026_3,Health & Protection,market,↑ (cover multiple),single_select,,What level of critical illness cover is provided (lump,"audit-flip: magnitude — truncated text hid ""multiple"" from judge"
REW263_BEN_DENTAL,live-2026_3,Health & Protection,market,↑ (employer-paid > voluntary),single_select,,Is dental cover employer-paid or employee-funded/volunt,audit-flip: funding generosity; consistent with NEW health-cash-plan row
