metric_id,base_type,sme_pct,large_pct,all_pct,single_pct,target_semantics,verbatim_evidence,ordering_needed,flags
CAR_STATUS_01,all_only,,,37,,"Share of all-UK employers that offer company cars at all (any basis: 2% to all staff + 35% grade/seniority/role-dependent). Positive option-side = 'Yes' on the DB yes/no pair (YES/NO single_select). 37 is the POSITIVE share (offerers) — not negative pole. Caveat: the question text narrows to 'as a status or grade-based benefit'; the strict-wording match is the 35% grade-dependent component, the 37% is the any-offer headline.","""~37% of UK employers offer it (2% to all staff, 35% dependent on grade/seniority/role)"" — 37 = any-offer headline; 35 = grade-dependent-only alternative; both verbatim in register.","Not in ruled_orderings.json. Obvious binary yes/no axis: lean side = 'No', positive = 'Yes'. No multi-rung ordering to rule, but a trivial No<Yes entry (or yes/no default) must exist for the generator if emitted.","RULING NEEDED 37-vs-35: question wording ('status or grade-based') vs anchor headline (any-offer). Base modest and dated: CIPD Oct 2021, ~280 reward professionals, transport-benefit item base n=217, private-skewed. Do NOT use the car-allowance (~47%) or car-ownership-scheme (~8%) figures — different constructs in the same anchor sentence."
PAYTR_02_131bd412,all_only,,,40,,"Share of all-UK employers where pay bands/ranges are visible to employees. The ~40% 'always publish' (internal) is the POSITIVE-pole candidate for the DB's binary 'Yes'; the 32% 'never' is the NEGATIVE POLE counterpart — do not use 32 as the positive target. The two sum to 72%, leaving ~28% implicit 'sometimes/partial' unallocated; mapping that residual onto the binary Yes/No needs a ruling (Yes = always → ~40%; Yes = ever-visible → ~68% derived, not verbatim). ~40 is anchor-declared approximate ('~40%'), not exact.","""internal ~40% always publish; 32% never"" (full anchor: ""Pay bands/ranges visible to employees: internal ~40% always publish; 32% never""). ~40 recorded as 40 — tilde-approximate as written, not a range midpoint.","NO entry in ruled_orderings.json. Obvious yes/no axis: lean = {No}, positive = {Yes} — but generator convention gives even binaries a ruled entry (cf. REW_BEN_HOL_004, EXT_REW_GAP_004), so promoting this likely needs a new two-rung entry No < Yes, plus the Yes-mapping ruling above (always vs always-or-sometimes).","Binary-vs-trichotomy mismatch: source has always/sometimes/never structure, DB question is plain Yes/No — the ~28% residual is the ruling's main decision. Large-skew composition: sample is 57% large (250+) vs 43% SME (n=832), far above UK population share, though quoted rates are all-UK blended with no separate SME/large rates (so NOT sme_large — nothing to blend). Approximate figure (~40%). Related-but-distinct metric REW_FAI_089 (external adverts, same source) has its own figures — do not cross-wire internal vs external transparency."
REW262_GOV_EQUALPAYAUDIT,all_only,,,35,,"Share of ALL UK employers (CIPD Pay, Performance and Transparency 2024, n=832) that ran an equal-pay audit in the last 12 months = 35%. POSITIVE-pole figure (audit-side) — no inversion needed; lean side = 'No'. Basis caution: 'in last 12m' maps to the 'Annually'+'More than annually' side of the ruled ordering, NOT to any-audit-including-'Ad hoc'.","""Equal-pay audit in last 12m: 35% of employers"" — the entire anchor; single clean figure, no range.","Ruled ordering EXISTS in ruled_orderings.json: ['No','Ad hoc','Annually','More than annually'], no positive_from → default second-rung behaviour puts lean = {'No'} and positive = Ad hoc + Annually + More than annually. Emitting 35% at that default treats it as an any-audit rate, but the figure's last-12m basis matches positive_from='Annually' semantics — David should either add positive_from='Annually' or explicitly accept the mismatch.","MARGINAL CANDIDATE. Single all-base figure, no SME/large split given → all_only, no pairing-trap exposure. Sample composition large-skewed within an all-UK label (large 250+ = 57%, SME = 43% of n=832) — note for weighting. The question also asks 'how often' but the anchor supports only the ran-in-last-12m split, not the Ad hoc/Annually/More-than-annually mix."
REW263_BEN_NEURO,large_only,,30,,,"Share of LARGE UK employers offering any neurodiversity support. Positive option-side = any rung above 'No' (Informal adjustments / Formal process / Formal process + dedicated support). 30 is the POSITIVE share (offerers), not negative pole. The figure cannot split the three positive rungs — Aon's construct is 'support offered', with no formality/level breakdown, so a marginal could only assert the offered-vs-No boundary.","Primary: ""neurodiversity support offered by ~30% of large UK employers"". Conflicting/alternative constructs quoted for the ruling: ""26% have a neurodiversity policy vs ~33% general UK average (Acas-cited)"" and conditional medical-scheme figures ""16% introduced a neurodiversity benefit into their medical scheme in the past 5yr, with a further 16% planning to in next 12-18mo"".",Not in ruled_orderings.json — emitting a marginal ALSO needs a new ruled ordering + positive_from key. Proposed axis: 'No' < 'Informal adjustments' < 'Formal process' < 'Formal process + dedicated support'; lean side = 'No'; positive_from = 'Informal adjustments' (the 30% counts ANY support). Needs David's ruling.,"Large-skew: Aon broker survey (240+ UK employers, ~49% large per source string), explicitly 'Not UK-representative - large-employer signal' — so large_only, no blend pair. CONFLICTING DUPLICATES: the ~33% 'general UK average' figure is a different construct (neurodiversity POLICY, not support) with weaker provenance (Acas-cited via Ukie games-sector Grade C) — do NOT treat 33 as the all-UK or SME mate of the 30 (pairing-trap-adjacent). 26% is games-sector only — ignore. The 16%+16% figures are conditional medical-scheme introductions, different construct — unusable. Row grade C overall despite the Grade B Aon source."
REW263_REC_IMPACT,all_only,,,56.4,,"Marginal would assert the share of UK orgs answering YES to 'Do you measure the impact of recognition on engagement or retention?' (yes_no question; positive side = Yes/measures impact). The recorded 56.4% is the 'do NOT track' share — NEGATIVE POLE, explicitly. CRITICAL: simple inversion (100−56.4=43.6) is NOT the Yes share, because the 17.7% 'want to but do not know how' group is also No-side; the true Yes share is ~2% formal + 16.2% informal = 18.2% — DERIVED, not verbatim.","""only ~2% formally track ROI on gifting/recognition (clear metrics); 16.2% informal indicators; 56.4% do NOT track; 17.7% want to but do not know how"". Note ~2% is written with a tilde (approximate). Categories sum to 92.3%, leaving ~7.7% unaccounted.","Not in ruled_orderings.json but the DB question is yes_no (Yes/No) — obvious axis, lean side = 'No'. No new ordering key needed; what IS needed is a polarity/derivation ruling on the target figure.","POLARITY TRAP LIVE (FAM_001 pattern): 56.4% is the negative-pole figure — never report as the positive target. Standard polarity-guard inversion is UNSAFE here (43.6 wrongly counts the 17.7% intenders as Yes); David must rule between authorising the derived 18.2 (2+16.2, not verbatim in register) or rejecting for context. Sample quality: n=85 self-selected vendor audience, grade C, directional only. Secondary CIPD 2023 figures (89% offer some recognition; 34% evaluate reward-strategy effectiveness) are DIFFERENT constructs — do not substitute as this metric's figure."
REW263_TIME_FERTLEAVE,all_only,,,22,,"Share of ALL UK employers (n=2,023, nationally representative) providing PAID time off for fertility appointments/treatment. POSITIVE-pole figure (22% is the provide-paid side, not a negative/none share). Maps to the TOP rung 'Paid dedicated leave' only — NOT to the default positive side of the existing ordering. The middle rung 'Unpaid/flexible' has its own candidate figure (27% flexibility of working hours) and the no-support share is 28%.","""22% of UK employers provide PAID time off to attend fertility appointments/manage treatment""; supporting distribution: ""27% provide flexibility of working hours"", ""49% provide some kind of fertility support overall; 28% provide none"".","Ruled ordering EXISTS: No < Unpaid/flexible < Paid dedicated leave (ruled 2026-07-15/16). No positive_from key, so default second-rung applies: lean = {No}, positive = {Unpaid/flexible, Paid dedicated leave} (~49%-any-support semantics). Emitting a marginal at 22% ALSO needs a positive_from ruling = 'Paid dedicated leave' (top rung), otherwise the guard will read 22% against the wrong (any-support) pole. Alternatively rule the marginal at the 49% any-support level — David's call.","Grade A nationally representative — strong candidate. Basis nuance: source counts 'paid time off to attend appointments/manage treatment', question asks 'dedicated paid fertility-treatment leave (separate from sick/annual)' — the 22% may include non-dedicated paid time off, mild offered-basis mismatch. Multiple coexisting figures (22/27/27/49/28) — only 22% matches the question's top rung; 27% policy-prevalence and 34%/19% public/private splits are distractors. DB has an is_na 'Not applicable' option. Sector splits available, no size splits quoted."
REW_BEN_FAM_008,all_only,,,86,,"Share of all-UK employers offering paid bereavement/compassionate leave. POSITIVE-pole figure (86% = offer it). Positive side of the option set is 'Yes - paid leave is provided' and plausibly 'Partially paid (case-by-case)'; negative side is 'Unpaid only' + 'No specific provision'. The source's 'offer it' basis likely counts ANY paid provision, so 86% may straddle the Yes-paid and Partially-paid rungs rather than being the Yes-paid rung alone.","""86% of UK employers offer it"" (referent: ""Paid bereavement/compassionate leave is near-universal""). Distractors NOT to use: ""up from 71% in 2018"" (historical), ""25+ days holiday (82%)"" (different benefit).","NO entry in ruled_orderings.json — a marginal needs a NEW ruled ordering. Obvious axis: No specific provision < Unpaid only < Partially paid (case-by-case) < Yes - paid leave is provided, but the 4-rung set differs from ruled siblings FAM_007/009/010 (3 rungs), so it cannot inherit. Also needs a positive_from ruling on whether 'Partially paid (case-by-case)' sits on the positive side (recommended, to match the source's any-paid-offer basis). Lean side = {No specific provision, Unpaid only}. 'Don't know' is is_na.","Grade A but modest base: ~280 reward professionals (item bases ~212-253), CIPD Oct 2021, private-skewed 70% — older and smaller than the n=1,059 benefits-focus survey. Rung-straddle risk: 86% is an any-paid-offer figure against a question that splits fully-paid vs case-by-case. Two distractor numbers in anchor (71% historical, 82% different benefit)."
REW_BEN_FAM_011,all_only,,,26,,"Share of all-UK employers offering UNPAID career breaks/sabbaticals — a MIDDLE-rung figure ('Yes - unpaid sabbaticals or career breaks only'), positive-side relative to 'No specific provision' but NOT the full positive-pole (any-offer) share. The top rung (paid sabbaticals) is only qualitative in the source ('low single-to-low-double-digit'), so the true positive pole under the existing default ordering = 26% + unquantified paid share, slightly above 26%. The 26% is NOT a negative-pole figure.","""26% of UK employers offer UNPAID career breaks/sabbaticals""; paid rung has no number: ""PAID sabbaticals are rarer still (low single-to-low-double-digit, among the least-common development benefits)"".","Ruled ordering EXISTS: No specific provision < Yes - unpaid sabbaticals or career breaks only < Yes - paid sabbaticals are available (ruled 2026-07-15/16). No positive_from → default second rung: lean = {No specific provision}, positive = {unpaid-only, paid}. A marginal seeded at 26% would slightly understate that positive pole (paid share missing); ruling could either accept 26% as a floor for the positive pole or treat 26% as the unpaid-rung share specifically.","Rung-mapping subtlety: 26% is one rung, not the pole — the anchor's 'offer UNPAID ... only'-style phrasing matches the middle rung exactly, but the generator's positive pole includes the paid rung whose share is unquantified. 'Mostly grade/tenure-dependent' — any-offer vs offered-to-all basis note. Same modest CIPD Oct 2021 base as FAM_008 (~280, private-skewed 70%). 'Don't know' is is_na."
REW_BEN_HOL_003,all_only,,,44.1,,"NEGATIVE POLE — the 44.1% is the share of UK employers that do NOT offer holiday trading at all, i.e. the lean/'No' rung share, NOT the positive target. The polarity guard must invert: positive pole (any of 'Yes - sell only' / 'Yes - buy only' / 'Yes - both buy and sell options are available') = 100 - 44.1 = 55.9% (derived, not verbatim). Do not report 44.1 as the offer share.","""44.1% of UK employers do NOT offer holiday trading at all""; secondary: ""18.8% allow buy/sell of up to 5 days"". Distractor: ""up from 35.8% prior year"" (historical trend, do not use).","Ruled ordering EXISTS: No < Yes - sell only < Yes - buy only < Yes - both buy and sell options are available (ruled 2026-07-15/16). No positive_from → default second rung: lean = {No}, which matches the 44.1% figure exactly. No new ordering needed. Distribution across the three Yes rungs is not given by the source (the marginal can only pin the No-vs-any-Yes split).","POLARITY TRAP instance (the FAM_001-style case the prompt warns about): source figure counts the none share — flag NEGATIVE POLE. Grade B convenience sample: n=626 incl. broker's own clients, skews larger/benefits-engaged, explicitly 'Not UK-representative' — large-skew flag despite nominal all-sizes base. 18.8% is a days-cap detail (up-to-5-days) belonging to HOL_006-type semantics, not this metric's pole. 'Don't know' is is_na."
REW_BEN_REM_PAY_001,all_only,,,64,,"Share of all-UK employers who keep base pay protected when an employee moves office->remote. Positive side = 'Base pay is protected'; lean side = the adjusted options ('Base pay may be adjusted over time', 'Base pay is adjusted immediately'). all_pct=64 is the POSITIVE share (employers who 'have not and do not intend to' reduce). The companion 4% figure is NEGATIVE POLE - it counts employers who HAVE reduced pay and/or benefits - and must never be reported as the positive target. Note the survey basis is reduction of 'pay and/or benefits' for predominantly-home-working staff (behavioural, wider than base pay), while the question asks how BASE PAY is treated as policy.","64 from ""64% have not and do not intend to"". Companion figures: ""only 4% of UK employers have reduced pay and/or benefits for predominantly-home-working staff"" (NEGATIVE POLE); ""11% plan to in future""; ""13% have instead provided a contribution toward home-working costs"".","Ruled ordering EXISTS in ruled_orderings.json: option_order ['Treatment varies by role or case', 'Base pay is protected'], ruled 2026-07-15/16 (migrated from anchored_spikes.json). But it is PARTIAL: covers only 2 of 6 live DB options, omits both adjusted rungs ('Base pay may be adjusted over time', 'Base pay is adjusted immediately'), and its first rung 'Treatment varies by role or case' is an is_na option in the live DB. No positive_from key (so legacy second-rung default applies). Likely needs re-ruling/extension to the full ladder before a marginal is emitted; positive = 'Base pay is protected', lean = the two adjusted options.","Marginal candidate: Grade A, nationally representative all-UK (CIPD/YouGov 2025, n=2,050, weighted). Multiple coexisting figures for one question: 4 (NEGATIVE POLE, have reduced), 64 (positive, have not and do not intend to), 11 (plan to in future - maps loosely to 'may be adjusted over time'), 13 (home-working cost contribution - no matching DB option). Categories sum to 92, ~8% unaccounted; exclusivity of the 13% 'instead' group vs the 64% is ambiguous, so 64 may understate the not-reduced total. Basis mismatch flag: source measures reduction of 'pay AND/OR benefits' (behaviour + intent), question asks base-pay policy treatment. Partial/odd ruled ordering (see ordering_needed) needs David's attention."
