metric_id,MATERIAL,grade,target_share_seeded,spike_figure,register_figure,register_base,register_grade,question_asks,overlap
REW_BEN_045,APPLIED-MARGINAL,A,0.807,80.7% provide group life assurance,Death-in-service/life assurance: 62% large (250+); ~18-19% all/SME (Fig28 UK-only 18%),large 250+ vs all,A,What life assurance cover is provided for the main population (multiple of salar,0.33
REW263_BEN_CICOVER,APPLIED-MARGINAL,A,0.629,62.9% offer group CIC,Critical-illness insurance: 23% all; 42% large(250+); 12% SME,all-UK / large split,A,What level of critical illness cover is provided (lump sum or salary multiple)?,0.0
REW26_WEL_EAP,APPLIED-MARGINAL,A,0.31,~31% offer EAP (Drewberry all-size),EAP: 67% all employees; 78% large(250+); 39% SME (offered to all). NB HW Fig16=67% all,all-UK / large split,A,Do you provide an Employee Assistance Programme (EAP)?,0.33
EXT_REW_GAP_004,APPLIED-MARGINAL,C,0.85,85% operate length-of-service recognition,76% operate a long-service award scheme,"UK employer-prevalence, answered-o",B,Do you operate a long service award scheme?,0.33
REW26_BEN_PLSA_QM,APPLIED-MARGINAL,C,0.1,~10% meet PLSA/PQM threshold (Standard 10%/Plus 15%),PLSA quality-mark threshold prevalence not in these sources,n/a,EST,Does the scheme meet the PLSA quality-mark threshold (12% total / 6% employer)?,0.25
REW263_BEN_NEURO,held,A,,66% moderate/large neurodiversity provision (among H&W-active),Aon 2025: neurodiversity support offered by ~30% of large UK employers (Q45 wellbeing grid); sep,"UK employers, broker-survey base, ",C,Do you provide neurodiversity support and/or a formal reasonable-adjustments pro,0.22
REW_FAI_STUDY_TIME_93b6ef22,held,A,,study leave: 15% SME / 42% large; 15% all-proxy,Paid study leave/time is offered by ~70% of UK employers (most common for staff undertaking form,All-UK employers (~280 reward prof,B,Is paid study time provided for employees undertaking funded qualifications?,0.25
REW262_TIME_SICKDAYONE,held,A,,~30% OSP from day one (service-band choice),"Day-one SSP now STATUTORY (ERA 2025, Apr 2026)",UK statutory,A,Does your occupational sick pay apply from day one (no waiting days)?,0.25
REW_INC_060,context,A,,individual bonuses MPT 40% (multi-measure),"Most common bonus measures: Profitability 71%, Operational performance 68%, Individual performan","UK employer-prevalence, answered-o",B,Which measures are used in your main bonus or incentive scheme?,0.17
REW_INC_103,context,A,,60% link pay/bonus to performance (some staff),12.2% of UK employees received a bonus in year to May 2025 (declining trend); small firms 20.4% ,UK EMPLOYEES IN RECEIPT of a bonus,B,What proportion of employees are eligible for a bonus scheme?,0.25
RED_TERM_02,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Statutory cap £719/wk 2025/26 (£751 Apr 2026); max 30 weeks (20yr x1.5),UK statutory,A,"What is the maximum redundancy pay multiple offered, excluding notice?",0.1
REW_Q524161,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,"Statutory employer-to-employee notice floor: 1 wk (1mth-2yr service), +1 wk per year thereafter,","UK statutory floor (legal minimum,",A,What is the employer notice period by level?,0.3
b1785613-96ed-4a64-9fd7-762d0ac65f19,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Statutory employee-to-employer notice floor: 1 week minimum once employed 1 month+. Contractual ,"UK statutory floor (legal minimum,",A,What is the employee notice period by level?,0.3
REW263_TIME_DAYONELEAVE,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Day-one paternity leave and unpaid parental leave became statutory rights under the Employment R,"UK statutory floor (legal minimum,",A,Have you made paternity and unpaid parental leave available from day one of empl,0.1
REW_BEN_FAM_001,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,33% of UK employers offer statutory-minimum maternity pay only; 18% offer 4-13 wks enhanced at/n,"All-UK employers, n=2,000, weighte",A,How does your maternity and adoption pay compare to statutory provision?,0.3
REW_BEN_FAM_005,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Shared parental leave near-zero in practice: 85% of UK employers report NO new fathers/partners ,"All-UK employers, n=2,000, weighte",A,Do you provide enhanced shared parental pay above statutory provision?,0.1
REW_BEN_FAM_006,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Statutory baseline (April 2026): SMP/SPP/ShPP £194.32/week (or 90% AWE if lower); SMP first 6 wk,"UK statutory floor (legal minimum,",A,Do you provide any paid parental leave beyond statutory unpaid parental leave?,0.2
REW_BEN_FAM_007,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,"52% of UK employers have a policy/procedure for employees to request carer's leave (75% public, ","All-UK employers, n=2,050 HR profe",A,Do you provide paid carer's leave for employees with caring responsibilities?,0.0
REW_BEN_HOL_001,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,"25+ days annual leave (excl bank hols), FT: 36% all; 58-59% large; 35% SME",all-UK / large split,A,"How much annual leave do employees typically receive, excluding bank holidays?",0.0
REW_BEN_SICK_001,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Occupational sick pay: 18% all (Fig13); 60-66% large; 17-18% SME,all-UK / large split,A,How does your occupational sick pay compare to statutory sick pay (SSP)?,0.0
REW_PAY_HOURLY_MIN_1c6e096f,floor,A,,statutory/HMRC floor - most orgs at/above; no imposed marginal,NLW 21+ = £12.21 (Apr 2025) -> £12.71 (Apr 2026); NMW 18-20 £10.85; under-18/apprentice £8.00 (A,statutory,A,What is the lowest base hourly rate paid to any directly employed worker (exclud,0.0
REW_BEN_FAM_002,context,A,,~21% offer near-full enhanced mat pay ~26wks,Enhanced maternity/paternity/adoption/SPL: 60% large(250+); ~19% all UK-only (Fig28),all-UK / large split,A,How many weeks of enhanced maternity and adoption pay are provided?,0.12
REW_BEN_FAM_009,held,A,,study leave 15% SME / 42% large; 15% all-proxy,70% of UK employers offer paid study leave (often grade/role-dependent rather than universal). S,"All-UK employers, ~280 reward prof",A,Do you provide paid study or exam leave?,0.25
