status,question_id,question_text,old_sub_power,NEW_category,hospitality_module,type,polarity,options,unit,source_note
existing,323ffcf1-749b-43f3-bf34-1de6b8b1ca67,What is your max bonus % opportunity by level?,Incentives,Incentives,,matrix,neutral,,,
existing,3faf1f0c-f753-497f-a395-384bba38c5e3,What is the average annual private medical insurance (PMI) premium for each level of coverage?,Benefits,Benefits,,matrix,neutral,,,
existing,a7ed418e-b057-4b70-ab58-31e897b7c1b6,"On average, what is the total annual payment for each allowance type?",Pay,Pay,,matrix,neutral,,,
existing,ALLOW_01,Which allowances are offered to employees?,Pay,Pay,,multi_select,higher_is_better,,,
existing,ALLOW_02,Are allowances reviewed regularly as part of reward governance?,Pay,Pay,,yes_no,higher_is_better,,,
existing,ALLOW_03,Are allowances pensionable?,Pay,Pay,,single_select,higher_is_better,,,
existing,ALLOW_04,Are allowances differentiated by role level?,Pay,Pay,,yes_no,higher_is_better,,,
existing,b1785613-96ed-4a64-9fd7-762d0ac65f19,What is the employee notice period by level?,Benefits,Benefits,,matrix,higher_is_better,,,
existing,CAR_BN_02,What criteria are used to determine eligibility for a business need company car?,Benefits,Benefits,,multi_select,higher_is_better,,,
existing,CAR_COST_02,Are low-emission or electric vehicles mandated or prioritised for company cars?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,CAR_STATUS_01,Does your organisation provide company cars as a status or grade-based benefit?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,CAR_STATUS_03,Are employees eligible to choose between a status-based company car and a cash allowance?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,EXT_REW_GAP_001,Is there an approximate annual recognition budget per employee?,Pay,Recognition,,single_select,higher_is_better,,,
existing,EXT_REW_GAP_002,What is the typical value of an individual recognition award?,Pay,Recognition,,single_select,higher_is_better,,,
existing,EXT_REW_GAP_003,Are there limits on how frequently an individual can receive recognition awards?,Pay,Recognition,,single_select,neutral,,,
existing,EXT_REW_GAP_004,Do you operate a long service award scheme?,Pay,Recognition,,single_select,neutral,,,
existing,EXT_REW_GAP_005,Which length-of-service milestones are recognised through long service awards?,Pay,Recognition,,multi_select,neutral,,,
existing,EXT_REW_GAP_006,How are long service awards typically provided?,Pay,Recognition,,single_select,neutral,,,
existing,EXT_REW_GAP_007,What is the typical value of a long service award at the main milestone?,Pay,Recognition,,single_select,higher_is_better,,,
existing,EXT_REW_GAP_009,"For roles that support remote working, how often are employees expected to attend a workplace?",Pay,Wellbeing,,single_select,neutral,,,
existing,EXT_REW_GAP_010,Where are remote employees permitted to work from?,Pay,Wellbeing,,single_select,neutral,,,
existing,EXT_REW_GAP_011,Which home-working expenses are typically reimbursed or covered?,Pay,Wellbeing,,multi_select,neutral,,,
existing,EXT_REW_GAP_012,Are employee benefits reviewed regularly to assess relevance and value?,Benefits,Benefits,,single_select,neutral,,,
existing,EXT_REW_GAP_013,How often are employees typically paid?,Pay,Pay,,single_select,neutral,,,
existing,fa0f46f6-61e3-41d1-a2d1-3e57483bb1cf,What is the annual car allowance amount by level?,Pay,Benefits,,matrix,neutral,,,
existing,OT_03_1a68c68a,Is time off in lieu (TOIL) offered as an alternative to paid overtime?,Pay,Time Off,,single_select,higher_is_better,,,
existing,OT_04_b14623a6,Are shift premiums paid for unsocial hours?,Pay,Pay,,single_select,higher_is_better,,,
existing,PAYTR_01_42eae7ec,Do job adverts typically include a salary or salary range?,Pay,Governance,,single_select,higher_is_better,,,
existing,PAYTR_02_131bd412,Are pay bands or salary ranges visible to employees?,Pay,Pay,,single_select,higher_is_better,,,
existing,PAYTR_03_db0108d6,Is there a formal policy describing pay progression within bands?,Pay,Governance,,single_select,higher_is_better,,,
existing,RED_COST_01,What was the average redundancy cost per employee in the last completed 12-month period?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,RED_NOTICE_01,How is notice typically handled in redundancy situations?,Benefits,Benefits,,single_select,higher_is_better,,,
