id_hint,question,status,real_anchor,source,base,grade,notes,verification_state
REW265_GOV_AIBENCH,Does your reward function use AI tools for benchmarking or market analysis?,estimate-flag,No UK prevalence figure for AI in reward benchmarking specifically,—,—,E,HiBob 31% covers AI in pay decisions (anchored on REW264_GOV_AIPAYREVIEW); this asks about the reward function's own tooling — different construct.,
REW265_GOV_AITALENT,"Do you operate differentiated reward arrangements for AI/digital talent (e.g. separate ranges, RSUs, retention vehicles)?",estimate-flag,No UK-only prevalence for differentiated AI-talent reward,—,—,E,Global consultancy surveys exist but are excluded (US/global base). Co-op-first metric.,
REW265_GOV_AIREGRADE,Have any roles been re-graded or re-evaluated in the last 12 months specifically due to AI changing job content?,estimate-flag,No published UK figure for AI-driven re-grading activity,—,—,E,Emerging practice; expect CIPD coverage in future waves.,
REW265_GOV_AIDISCLOSE,Do you disclose to employees when AI has been used in decisions affecting their pay?,estimate-flag,No prevalence data on AI pay-decision disclosure,—,—,E,Regulatory direction of travel (EU AI Act read-across); no UK employer figure yet.,
REW265_INC_SAYEDISC,"If SAYE is offered, what discount is applied to the option price?",verify-queued,Majority of SAYE schemes understood to grant at or near the 20% maximum,"ProShare annual SAYE/SIP survey; HMRC ESS statistics (480 live SAYE schemes, prior-validated) — VERIFY discount split before seeding","ProShare base = responding plan issuers, not all UK employers",—,Do not seed a discount split until ProShare table verified.,verified-direction
REW265_INC_SIPELEM,"If a SIP is offered, which elements are used?",verify-queued,Partnership + matching understood to be the most common SIP pairing,"ProShare annual survey; HMRC ESS (800 live SIP schemes, prior-validated) — VERIFY element mix",ProShare responding issuers,—,Element-mix split needs ProShare table; scheme counts already validated.,verified-direction
REW265_INC_SHAREPART,What is the approximate employee participation rate in your all-employee share plan?,verify-queued,Typical all-employee participation understood to sit in the 25–40% band,ProShare participation tables — VERIFY before seeding,Responding plan issuers,—,Participation varies strongly by contribution level; seed conservatively pending verification.,unverifiable-free
REW265_INC_EOT,Is any employee-ownership structure in place or under consideration (e.g. EOT)?,verify-queued,"~2,000+ UK employee-owned businesses, majority via EOT",Employee Ownership Association sector data — VERIFY current count and base,"EOA counts businesses, not share of all UK employers",—,Prevalence among the general employer population is very low; seed accordingly.,verified-direction
REW265_INC_ESGINCENT,"Do any incentive plans include ESG, safety or people measures?",verify-queued,ESG measures now common in listed-company exec incentives; all-employee prevalence unpublished,CIPD Reward Management archive / PPT tables — VERIFY whether an all-population figure exists,Listed-company exec data (e.g. FTSE) would be the wrong base for this question,—,Do not borrow FTSE exec statistics; question covers any plan including general population.,directional
REW265_INC_BONUSDISC,How is discretion applied to formulaic bonus outcomes?,estimate-flag,No UK prevalence for bonus-discretion governance models,—,—,E,Practice metric; co-op distribution is the product.,
REW265_INC_BUYOUT,Are bonus buy-outs offered to new senior hires?,estimate-flag,No general-market UK buy-out prevalence figure,—,—,E,Listed-company disclosure exists for exec hires only; wrong base for this question.,
REW265_INC_BONUSTIME,When are annual bonuses typically paid relative to year end?,estimate-flag,No published distribution of bonus payment timing,—,—,E,Practice metric; timing norms are exactly what the co-op reveals.,
REW265_INC_PROFITSHARE,Do you operate a profit-share or gainshare arrangement for the general population?,verify-queued,Historic CIPD data put all-employee profit share in the low-teens % of employers,CIPD Reward Management survey archive — VERIFY latest figure and year,CIPD RM survey respondents,—,Archive figure may be dated; verify vintage before use.,
REW265_INC_COMMCAP,"For commission plans, are earnings capped?",estimate-flag,No UK-only commission-cap prevalence,—,—,E,US sales-comp surveys excluded by register rule.,
REW265_INC_RETENTION,Do you operate a retention or project-completion bonus practice for critical roles?,estimate-flag,No UK prevalence figure for retention-bonus frameworks,—,—,E,"CIPD LMO covers counter-offers/retention sentiment, not framework prevalence.",
REW265_PAY_PROMOPAY,What is your typical promotion pay increase policy?,verify-queued,Median UK promotion increases typically reported in the 8–10% region,"Brightmine (XpertHR) pay-planning research — VERIFY figure, year and base",Brightmine respondent organisations,—,Paywalled source; verify via published summary before seeding.,unverifiable-free
REW265_PAY_COUNTEROFFER,Do you operate a formal counter-offer policy?,verify-queued,CIPD LMO has reported a majority of employers making counter-offers in tight markets,CIPD Labour Market Outlook (prior-validated source family) — VERIFY exact wave and figure,"LMO n≈2,000 employers",—,"LMO asks incidence, not policy stance; note construct gap when verifying.",anchored-reseed
REW265_PAY_GEOPAY,Do you apply geographic pay differentiation within the UK?,verify-queued,London weighting/allowances well documented; economy-wide structure split unpublished,Brightmine London-allowances research — VERIFY,Brightmine respondents,—,Allowance value data exists; structure-type split may not.,unverifiable-free
REW265_PAY_RANGEMAX,What is your policy on pay for employees at or above range maximum?,verify-queued,Freeze-at-max understood to be the most common policy where ranges exist,Brightmine pay-structure research — VERIFY split,Brightmine respondents,—,Practice-adjacent market metric; ordering ratified best-first as listed.,unverifiable-free
REW265_PAY_MGRTRAIN,Are line managers given pay-decision training or guidance before review cycles?,verify-queued,CIPD PPT covers manager capability in pay communication,"CIPD Pay, Performance and Transparency survey tables (n=832, prior-validated) — VERIFY exact item",CIPD PPT n=832,—,Likely the strongest free source for this construct.,
REW265_PAY_PAYCOMMS,How are pay review outcomes communicated to individuals?,verify-queued,CIPD PPT covers pay communication practice,CIPD PPT tables — VERIFY item wording and split,CIPD PPT n=832,—,,directional
REW265_PAY_EARLYCAREER,Do you operate an apprentice or graduate pay progression framework distinct from the main structure?,verify-queued,ISE reports structured development frameworks common among graduate employers,Institute of Student Employers annual survey — VERIFY pay-progression item,ISE members skew large/graduate-recruiting; base caveat required,—,ISE base is not all-UK-employers; note prominently if used.,
REW265_PAY_ACTINGUP,Is there a documented policy for pay during acting-up or secondment arrangements?,verify-queued,Acting-up allowances near-universal in public sector; whole-economy split unpublished,Brightmine allowances research — VERIFY,Brightmine respondents,—,Public-sector skew risk; seed with sector tilt.,unverifiable-free
REW265_TIME_BACKUPCARE,Do you offer backup or emergency care days (child or adult dependants)?,verify-queued,Backup care established among large employers; whole-market prevalence unpublished,"Bright Horizons Work+Family / Modern Families Index — VERIFY (vendor research, flag base)",Vendor client-adjacent base; treat as B-grade at best,—,Flag vendor provenance in any published claim.,
REW265_TIME_RTWSUPPORT,"Is structured return-to-work support provided after extended family leave (e.g. coaching, phased return beyond statutory)?",estimate-flag,No whole-market figure for structured post-leave support,—,—,E,CIPD FW survey touches phased return; construct here is broader — kept honest at E.,
REW265_TIME_GRANDPARENT,Do you provide paid grandparental leave?,estimate-flag,"Rare, emerging benefit; no prevalence figure",—,—,E,Expect low single-digit prevalence; seed near-floor.,
REW265_TIME_SURROGACY,Is surrogacy treated with parity to adoption in pay and leave policies?,estimate-flag,No published employer split on surrogacy parity,—,—,E,,
