id,text,superpower,type,category,use_case,chart_type,data_type,options,help_text,definition,tags,include_in_scoring,include_in_benchmarking,is_scored,base_weight,polarity,scoring_config,tolerance,tolerance_min_legal,tolerance_max_legal,validation,validation_rule,unit,unit_display_name,unit_type,currency_code,question_priority,question_version,historical_comparability,commonality,is_required,depends_on,sub_power,sub_power_code,sub_power_order,source,data_sensitivity,stability,benchmark_group,benchmark_display,difficulty,update_frequency,region,status,replaced_by,response_format,na_handling,lumi_tier,pii_warning,redaction_required,matrix_rows,matrix_columns,created_at,updated_at,response_polarity,data_display_type,default_chart_type,sector_modifiers,fte_band_modifiers,matrix,purpose,fte_modifiers,active,is_active,scoring_rule,is_core,score_map,short_description,search_description,search_embedding,embedding_updated_at
323ffcf1-749b-43f3-bf34-1de6b8b1ca67,What is your max bonus % opportunity by level?,Reward,matrix,metric,benchmark,matrix-table,numeric,[],Enter the applicable numeric value for each population.,What is the Max bonus opportunity by population (as % of base salary)?,"{""Reward"",""Incentives"",""metric"",""benchmark"",""matrix""}",FALSE,TRUE,FALSE,1,higher_is_better,"{""curve_type"": ""linear"", ""scoring_method"": ""matrix"", ""option_scores"": {}, ""polarity"": ""neutral""}","{""hard_min"": 0, ""hard_max"": 100, ""soft_min"": null, ""soft_max"": null, ""unit"": ""%""}",0,0,"{""required"": false, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,%,%,percentage,,50,v1.2,medium,medium,FALSE,{},Incentives & Recognition,REW_INCENTIVES_RECOGNITION,6,lumi,medium,stable,Maximum bonus % opportunity,Maximum bonus % opportunity by level,medium,annually,UK,active,,matrix,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,"[""Board / Executive"", ""Director"", ""Head of"", ""Senior Manager"", ""Manager"", ""Supervisor / Team Leader"", ""Frontline / Individual Contributor""]","[{""id"": ""percentage"", ""type"": ""percentage"", ""label"": ""Percentage (%)"", ""placeholder"": ""e.g., 8""}]",2026-01-12 10:58:01.090671+00,2026-01-16 22:23:35.149989+00,neutral,matrix,heatmap,{},{},"{""columns"": [{""id"": ""percentage"", ""type"": ""percentage"", ""label"": ""Percentage (%)"", ""placeholder"": ""e.g., 8""}], ""help_text"": ""Enter the value for each role level. If the same value applies to all levels, enter it for each row."", ""answer_type"": ""percentage"", ""rows_source"": ""ROLE_LEVELS_V1""}",benchmark,{},TRUE,TRUE,default,FALSE,{},Maximum bonus % opportunity by level,maximum bonus % opportunity by level maximum bonus % opportunity what is your max bonus % opportunity by level? reward incentives metric matrix numeric % pay salary compensation benefits bonus incentive pension allowance,[],2026-01-16 22:23:35.114+00
3faf1f0c-f753-497f-a395-384bba38c5e3,What is the average annual private medical insurance (PMI) premium for each level of coverage?,Reward,matrix,metric,benchmark,matrix-table,numeric,[],Enter the annual premium for each PMI coverage level.,Which employee populations are eligible for employer-provided private medical insurance (PMI)?,"{""Reward"",""Benefits"",""metric"",""benchmark"",""matrix""}",FALSE,TRUE,FALSE,1,neutral,"{""curve_type"": ""linear"", ""scoring_method"": ""matrix"", ""option_scores"": {}, ""polarity"": ""neutral""}","{""hard_min"": 0, ""hard_max"": null, ""soft_min"": null, ""soft_max"": null, ""unit"": ""GBP""}",0,0,"{""required"": true, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,GBP,£,currency,GBP,140,v1.6_lang_final,high,variable,TRUE,{},Health & Protection,REW_HEALTH_PROTECTION,3,Reward v1.2 Population Ladder,low,stable,Average annual private medical insurance (PMI) premium,Average annual private medical insurance (PMI) premium,hard,annually,UK,active,,matrix,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,"[""Single"", ""Partner"", ""Family""]","[{""id"": ""annual_premium"", ""type"": ""currency"", ""label"": ""Annual Premium (£)"", ""placeholder"": ""e.g., 2000""}]",2026-01-13 20:37:41.759+00,2026-02-03 16:52:17.539231+00,neutral,matrix,heatmap,{},{},"{""columns"": [{""id"": ""annual_premium"", ""type"": ""currency"", ""label"": ""Annual Premium (£)"", ""placeholder"": ""e.g., 2000""}], ""help_text"": ""Enter the annual premium for each coverage level."", ""answer_type"": ""currency"", ""custom_rows"": [""Single"", ""Partner"", ""Family""]}",benchmark,{},TRUE,TRUE,default,FALSE,{},Average annual private medical insurance (PMI) premium,average annual private medical insurance (pmi) premium average annual private medical insurance (pmi) premium what is the average annual private medical insurance (pmi) premium for each level of coverage? reward benefits metric matrix numeric gbp pay salary compensation benefits bonus incentive pension allowance,[],2026-01-16 22:23:50.151+00
a7ed418e-b057-4b70-ab58-31e897b7c1b6,"On average, what is the total annual payment for each allowance type?",Reward,matrix,practice,benchmark,matrix-table,numeric,[],Select the option that best describes your organisation's current approach.,Which allowances or premiums are currently paid?,"{""Reward"",""Pay"",""practice"",""benchmark"",""matrix""}",FALSE,TRUE,FALSE,1,neutral,"{""curve_type"": ""linear"", ""scoring_method"": ""matrix"", ""option_scores"": {}, ""polarity"": ""neutral""}","{""hard_min"": 0, ""hard_max"": null, ""soft_min"": null, ""soft_max"": null, ""unit"": ""GBP""}",0,0,"{""required"": true, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,GBP,£,currency,GBP,16,v1.6_lang_final,high,variable,TRUE,{},Pay,REW_PAY,1,Reward Master Gap Audit,low,stable,Total annual payment for each allowance,Total annual payment for each allowance,easy,annually,UK,active,,matrix,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,"[""London weighting / location allowance"", ""Shift allowance"", ""Night premium"", ""Weekend premium"", ""Bank holiday premium"", ""On-call allowance"", ""Standby allowance"", ""Call-out allowance"", ""Tool allowance"", ""Meal allowance"", ""Uniform allowance""]","[{""id"": ""annual_payment"", ""type"": ""currency"", ""label"": ""Annual payment (£)"", ""placeholder"": ""e.g., 2000""}]",2026-01-12 16:35:54.709+00,2026-01-16 22:23:38.947263+00,neutral,matrix,heatmap,{},{},"{""columns"": [{""id"": ""annual_payment"", ""type"": ""currency"", ""label"": ""Annual payment (£)"", ""placeholder"": ""e.g., 2000""}], ""help_text"": ""Enter the typical annual payment amount for each allowance type."", ""answer_type"": ""currency"", ""custom_rows"": [""London weighting / location allowance"", ""Shift allowance"", ""Night premium"", ""Weekend premium"", ""Bank holiday premium"", ""On-call allowance"", ""Standby allowance"", ""Call-out allowance"", ""Tool allowance"", ""Meal allowance"", ""Uniform allowance""]}",benchmark,{},TRUE,TRUE,default,FALSE,{},Total annual payment for each allowance,"total annual payment for each allowance total annual payment for each allowance on average, what is the total annual payment for each allowance type? reward pay practice matrix numeric gbp pay salary compensation benefits bonus incentive pension allowance",[],2026-01-16 22:23:38.904+00
ALLOW_01,Which allowances are offered to employees?,Reward,multi_select,policy,benchmark,bar,categorical,"[{""code"": ""CAR_ALLOWANCE"", ""label"": ""Car allowance"", ""order"": 1, ""is_na"": false}, {""code"": ""SHIFT_ALLOWANCE"", ""label"": ""Shift allowance"", ""order"": 2, ""is_na"": false}, {""code"": ""ON_CALL_ALLOWANCE"", ""label"": ""On-call allowance"", ""order"": 3, ""is_na"": false}, {""code"": ""LOCATION_COST_OF_LIVING_ALLOWANCE"", ""label"": ""Location / cost-of-living allowance"", ""order"": 4, ""is_na"": false}, {""code"": ""TRAVEL_ALLOWANCE"", ""label"": ""Travel allowance"", ""order"": 5, ""is_na"": false}, {""code"": ""MOBILE_PHONE_ALLOWANCE"", ""label"": ""Mobile/phone allowance"", ""order"": 6, ""is_na"": false}, {""code"": ""HOMEWORKING_ALLOWANCE"", ""label"": ""Homeworking allowance"", ""order"": 7, ""is_na"": false}, {""code"": ""MEAL_ALLOWANCE"", ""label"": ""Meal allowance"", ""order"": 8, ""is_na"": false}, {""code"": ""OTHER"", ""label"": ""Other"", ""order"": 9, ""is_na"": false}, {""code"": ""NONE"", ""label"": ""None"", ""order"": 10, ""is_na"": false}]","Select all that apply. If you select 'None', do not select any other options.",Categorical response describing: Which allowances are offered to employees?,"{""Reward"",""Pay"",""policy"",""benchmark"",""multi_select""}",TRUE,TRUE,TRUE,1,higher_is_better,"{""curve_type"": ""linear"", ""scoring_method"": ""multi_select_count"", ""option_scores"": {""CAR_ALLOWANCE"": 1, ""SHIFT_ALLOWANCE"": 1, ""ON_CALL_ALLOWANCE"": 1, ""LOCATION_COST_OF_LIVING_ALLOWANCE"": 1, ""TRAVEL_ALLOWANCE"": 1, ""MOBILE_PHONE_ALLOWANCE"": 1, ""HOMEWORKING_ALLOWANCE"": 1, ""MEAL_ALLOWANCE"": 1, ""OTHER"": 1, ""NONE"": 0}, ""polarity"": ""higher_is_better""}","{""hard_min"": null, ""hard_max"": null, ""soft_min"": null, ""soft_max"": null, ""unit"": null}",0,0,"{""required"": true, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,,,none,,50,v2.0,medium,medium,TRUE,{},Pay,REW_PAY,1,lumi,medium,stable,Allowances Are Offered To Employees,Allowances Are Offered To Employees,easy,ad_hoc,UK,retired,,multi_select,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,[],[],2026-02-12 00:00:00+00,2026-02-03 16:47:33.216316+00,positive,percentage_distribution,bar,{},{},{},benchmark,{},TRUE,TRUE,default,FALSE,{},Allowances Are Offered To Employees,allowances are offered to employees allowances are offered to employees which allowances are offered to employees? reward pay policy multi_select categorical pay salary compensation benefits bonus incentive pension allowance,[],2026-02-03 16:47:33.216316+00
ALLOW_02,Are allowances reviewed regularly as part of reward governance?,Reward,yes_no,policy,benchmark,bar,categorical,"[{""code"": ""YES"", ""label"": ""Yes"", ""order"": 1, ""is_na"": false}, {""code"": ""NO"", ""label"": ""No"", ""order"": 2, ""is_na"": false}, {""code"": ""AD_HOC_IRREGULAR"", ""label"": ""Ad hoc / irregular"", ""order"": 3, ""is_na"": false}, {""code"": ""DON_T_KNOW"", ""label"": ""Don't know"", ""order"": 4, ""is_na"": true}]",Select Yes or No.,Binary indicator for whether the organisation meets the described condition: Are allowances reviewed regularly as part of reward governance?,"{""Reward"",""Pay"",""policy"",""benchmark"",""yes_no""}",TRUE,TRUE,TRUE,1,neutral,"{""curve_type"": ""linear"", ""scoring_method"": ""option_scores"", ""option_scores"": {""YES"": 0.0, ""NO"": 50.0, ""AD_HOC_IRREGULAR"": 100.0}, ""na_codes"": [""DON_T_KNOW""], ""polarity"": ""higher_is_better""}","{""hard_min"": null, ""hard_max"": null, ""soft_min"": null, ""soft_max"": null, ""unit"": null}",0,0,"{""required"": true, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,,,none,,50,v2.0,medium,medium,TRUE,{},Pay,REW_PAY,1,lumi,medium,stable,Allowances review cadence as part of reward governance,Allowances review cadence as part of reward governance,easy,ad_hoc,UK,active,,yes_no,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,[],[],2026-02-12 00:00:00+00,2026-02-03 16:47:33.216316+00,positive,percentage_distribution,bar,{},{},{},benchmark,{},TRUE,TRUE,default,FALSE,{},Allowances review cadence as part of reward governance,allowances review cadence as part of reward governance allowances review cadence as part of reward governance are allowances reviewed regularly as part of reward governance? reward pay policy yes_no categorical pay salary compensation benefits bonus incentive pension allowance,[],2026-02-03 16:47:33.216316+00
ALLOW_03,Are allowances pensionable?,Reward,single_select,policy,benchmark,bar,categorical,"[{""code"": ""YES_ALL_ALLOWANCES"", ""label"": ""Yes – all allowances"", ""order"": 1, ""is_na"": false}, {""code"": ""YES_SOME_ALLOWANCES_ONLY"", ""label"": ""Yes – some allowances only"", ""order"": 2, ""is_na"": false}, {""code"": ""NO_NON_PENSIONABLE"", ""label"": ""No – non-pensionable"", ""order"": 3, ""is_na"": false}, {""code"": ""VARIES_BY_ALLOWANCE_CONTRACT"", ""label"": ""Varies by allowance/contract"", ""order"": 4, ""is_na"": true}, {""code"": ""DON_T_KNOW"", ""label"": ""Don't know"", ""order"": 5, ""is_na"": true}]",Select one option that best describes your organisation.,Categorical response describing: Are allowances pensionable?,"{""Reward"",""Pay"",""policy"",""benchmark"",""single_select""}",TRUE,TRUE,TRUE,1,neutral,"{""curve_type"": ""linear"", ""scoring_method"": ""option_scores"", ""option_scores"": {""YES_ALL_ALLOWANCES"": 0.0, ""YES_SOME_ALLOWANCES_ONLY"": 50.0, ""NO_NON_PENSIONABLE"": 100.0}, ""na_codes"": [""VARIES_BY_ALLOWANCE_CONTRACT"", ""DON_T_KNOW""], ""polarity"": ""higher_is_better""}","{""hard_min"": null, ""hard_max"": null, ""soft_min"": null, ""soft_max"": null, ""unit"": null}",0,0,"{""required"": true, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,,,none,,50,v2.0,medium,medium,TRUE,{},Pay,REW_PAY,1,lumi,medium,stable,Allowances pensionability,Allowances pensionability,easy,ad_hoc,UK,active,,single_select,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,[],[],2026-02-12 00:00:00+00,2026-02-03 16:47:33.216316+00,positive,percentage_distribution,bar,{},{},{},benchmark,{},TRUE,TRUE,default,FALSE,{},Allowances pensionability,allowances pensionability allowances pensionability are allowances pensionable? reward pay policy single_select categorical pay salary compensation benefits bonus incentive pension allowance,[],2026-02-03 16:47:33.216316+00
ALLOW_04,Are allowances differentiated by role level?,Reward,yes_no,policy,benchmark,bar,categorical,"[{""code"": ""YES"", ""label"": ""Yes"", ""order"": 1, ""is_na"": false}, {""code"": ""NO"", ""label"": ""No"", ""order"": 2, ""is_na"": false}, {""code"": ""SOME_ALLOWANCES_ONLY"", ""label"": ""Some allowances only"", ""order"": 3, ""is_na"": false}, {""code"": ""DON_T_KNOW"", ""label"": ""Don't know"", ""order"": 4, ""is_na"": true}]",Select Yes or No.,Binary indicator for whether the organisation meets the described condition: Are allowances differentiated by role level?,"{""Reward"",""Pay"",""policy"",""benchmark"",""yes_no""}",TRUE,TRUE,TRUE,1,neutral,"{""curve_type"": ""linear"", ""scoring_method"": ""option_scores"", ""option_scores"": {""YES"": 0.0, ""NO"": 50.0, ""SOME_ALLOWANCES_ONLY"": 100.0}, ""na_codes"": [""DON_T_KNOW""], ""polarity"": ""higher_is_better""}","{""hard_min"": null, ""hard_max"": null, ""soft_min"": null, ""soft_max"": null, ""unit"": null}",0,0,"{""required"": true, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,,,none,,50,v2.0,medium,medium,TRUE,{},Pay,REW_PAY,1,lumi,medium,stable,Allowances differentiation,Allowances differentiation by role level,easy,ad_hoc,UK,active,,yes_no,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,[],[],2026-02-12 00:00:00+00,2026-02-03 16:47:33.216316+00,positive,percentage_distribution,bar,{},{},{},benchmark,{},TRUE,TRUE,default,FALSE,{},Allowances differentiation by role level,allowances differentiation by role level allowances differentiation are allowances differentiated by role level? reward pay policy yes_no categorical pay salary compensation benefits bonus incentive pension allowance,[],2026-02-03 16:47:33.216316+00
ANALYT_01,Is there a defined people data quality framework in place?,Capability,yes_no,policy,benchmark,bar,categorical,"[{""code"": ""YES"", ""label"": ""Yes"", ""order"": 1, ""is_na"": false}, {""code"": ""NO"", ""label"": ""No"", ""order"": 2, ""is_na"": false}, {""code"": ""IN_DEVELOPMENT"", ""label"": ""In development"", ""order"": 3, ""is_na"": false}, {""code"": ""DON_T_KNOW"", ""label"": ""Don't know"", ""order"": 4, ""is_na"": true}]",Select Yes or No.,Binary indicator for whether the organisation meets the described condition: Is there a defined people data quality framework in place?,"{""Capability"",""Fit"",""policy"",""benchmark"",""yes_no""}",TRUE,TRUE,TRUE,1,higher_is_better,"{""curve_type"": ""linear"", ""scoring_method"": ""option_scores"", ""option_scores"": {""YES"": 0.0, ""NO"": 50.0, ""IN_DEVELOPMENT"": 100.0}, ""na_codes"": [""DON_T_KNOW""], ""polarity"": ""higher_is_better""}","{""hard_min"": null, ""hard_max"": null, ""soft_min"": null, ""soft_max"": null, ""unit"": null}",0,0,"{""required"": true, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,,,none,,50,v2.0,medium,medium,TRUE,{},Fit,CAP_EFFECTIVENESS,1,lumi,low,stable,Defined people data quality framework in place,Defined people data quality framework in place,easy,ad_hoc,UK,active,,yes_no,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,[],[],2026-02-12 00:00:00+00,2026-02-03 16:52:17.539231+00,positive,percentage_distribution,bar,{},{},{},benchmark,{},TRUE,TRUE,default,FALSE,{},Defined people data quality framework in place,defined people data quality framework in place defined people data quality framework in place is there a defined people data quality framework in place? capability fit policy yes_no categorical skills capability workforce planning capacity,[],2026-02-03 16:52:17.539231+00
ANALYT_02,How confident are you in the accuracy of core people data?,Capability,single_select,policy,benchmark,bar,categorical,"[{""code"": ""VERY_CONFIDENT"", ""label"": ""Very confident"", ""order"": 1, ""is_na"": false}, {""code"": ""SOMEWHAT_CONFIDENT"", ""label"": ""Somewhat confident"", ""order"": 2, ""is_na"": false}, {""code"": ""NEUTRAL"", ""label"": ""Neutral"", ""order"": 3, ""is_na"": false}, {""code"": ""NOT_VERY_CONFIDENT"", ""label"": ""Not very confident"", ""order"": 4, ""is_na"": false}, {""code"": ""NOT_AT_ALL_CONFIDENT"", ""label"": ""Not at all confident"", ""order"": 5, ""is_na"": false}, {""code"": ""DON_T_KNOW"", ""label"": ""Don't know"", ""order"": 6, ""is_na"": true}]",Select one option that best describes your organisation.,Categorical response describing: How confident are you in the accuracy of core people data?,"{""Capability"",""Fit"",""policy"",""benchmark"",""single_select""}",TRUE,TRUE,TRUE,1,higher_is_better,"{""curve_type"": ""linear"", ""scoring_method"": ""option_scores"", ""option_scores"": {""VERY_CONFIDENT"": 0.0, ""SOMEWHAT_CONFIDENT"": 25.0, ""NEUTRAL"": 50.0, ""NOT_VERY_CONFIDENT"": 75.0, ""NOT_AT_ALL_CONFIDENT"": 100.0}, ""na_codes"": [""DON_T_KNOW""], ""polarity"": ""higher_is_better""}","{""hard_min"": null, ""hard_max"": null, ""soft_min"": null, ""soft_max"": null, ""unit"": null}",0,0,"{""required"": true, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,,,none,,50,v2.0,medium,medium,TRUE,{},Fit,CAP_EFFECTIVENESS,1,lumi,low,stable,Confident Are You In The Accuracy Of Core People Data,Confident Are You In The Accuracy Of Core People Data,easy,ad_hoc,UK,active,,single_select,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,[],[],2026-02-12 00:00:00+00,2026-02-03 16:52:17.539231+00,positive,percentage_distribution,bar,{},{},{},benchmark,{},TRUE,TRUE,default,FALSE,{},Confident Are You In The Accuracy Of Core People Data,confident are you in the accuracy of core people data confident are you in the accuracy of core people data how confident are you in the accuracy of core people data? capability fit policy single_select categorical skills capability workforce planning capacity,[],2026-02-03 16:52:17.539231+00
ANALYT_03,Are role-based access controls applied to people data?,Capability,yes_no,policy,benchmark,bar,categorical,"[{""code"": ""YES"", ""label"": ""Yes"", ""order"": 1, ""is_na"": false}, {""code"": ""NO"", ""label"": ""No"", ""order"": 2, ""is_na"": false}, {""code"": ""PARTIALLY_SOME_SYSTEMS_ONLY"", ""label"": ""Partially (some systems only)"", ""order"": 3, ""is_na"": false}, {""code"": ""DON_T_KNOW"", ""label"": ""Don't know"", ""order"": 4, ""is_na"": true}]",Select Yes or No.,Binary indicator for whether the organisation meets the described condition: Are role-based access controls applied to people data?,"{""Capability"",""Fit"",""policy"",""benchmark"",""yes_no""}",TRUE,TRUE,TRUE,1,higher_is_better,"{""curve_type"": ""linear"", ""scoring_method"": ""option_scores"", ""option_scores"": {""YES"": 0.0, ""NO"": 50.0, ""PARTIALLY_SOME_SYSTEMS_ONLY"": 100.0}, ""na_codes"": [""DON_T_KNOW""], ""polarity"": ""higher_is_better""}","{""hard_min"": null, ""hard_max"": null, ""soft_min"": null, ""soft_max"": null, ""unit"": null}",0,0,"{""required"": true, ""integer_only"": null, ""min_decimals"": null, ""max_decimals"": null, ""max_length"": 2000, ""pattern"": null}",default,,,none,,50,v2.0,medium,medium,TRUE,{},Fit,CAP_EFFECTIVENESS,1,lumi,low,stable,Role-based access controls application to people data,Role-based access controls application to people data,easy,ad_hoc,UK,active,,yes_no,"{""exclude_from_scoring"": true, ""exclude_from_benchmarking"": false}",Enhanced,FALSE,FALSE,[],[],2026-02-12 00:00:00+00,2026-02-03 16:52:17.539231+00,positive,percentage_distribution,bar,{},{},{},benchmark,{},TRUE,TRUE,default,FALSE,{},Role-based access controls application to people data,role-based access controls application to people data role-based access controls application to people data are role-based access controls applied to people data? capability fit policy yes_no categorical skills capability workforce planning capacity,[],2026-02-03 16:52:17.539231+00
