metric_id,fix_class,class,writes,target,achieved_top
REW264_BEN_EVSALSAC,F2,Level,54,,Not applicable 56%; Fuel-neutral 30%; EV-led (EV prioritised) 10%; EV-only 5%
REW264_GOV_PAYEXPLAIN,F5-jitter,Level,14,,No 64%; Formal right/process 19%; Informal via manager 17%
REW264_HLT_CANCERPATH,F5-jitter,Level,27,,No 75%; Yes dedicated pathway 15%; Via PMI 10%
REW264_HLT_CASHPLAN,F5-jitter,Level,29,,No 62%; Employer-paid all 17%; Employer-paid some 13%; Voluntary only 9%
REW264_HLT_FERTROUTE,F5-jitter,Level,2,,Not applicable 90%; Specialist provider/insu 6%; Direct reimbursement 2%; Via PMI 1%
REW264_HLT_GENDERAFF,F5-jitter,Level,3,,No 70%; Yes explicit 20%; PMI standard terms 11%
REW264_HLT_MENSHEALTH,F5-jitter,Level,13,,No 76%; Yes 24%
REW264_HLT_OPTICAL,F5-jitter,Level,14,,Yes 76%; Statutory DSE only 24%
REW264_HLT_SPOUSELIFE,F5-jitter,Level,6,,No 69%; Employer-paid 20%; Voluntary 11%
REW264_HLT_VIRTUALGP,F5-jitter,Level,33,,No 77%; Yes all employees 9%; Yes some 7%; Via PMI only 6%
REW264_HLT_WOMENSHEALTH,F5-jitter,Level,28,,No 77%; Policy/awareness only 11%; Yes clinical benefit 11%
REW264_INC_EMICSOP,F1,Level,59,,Neither 66%; Not applicable (no share 13%; EMI 12%; CSOP 6%; Both 3%
REW264_INC_SHAREPLAN,F1,Level,57,,Neither 63%; Not applicable (no share 18%; SAYE 11%; SIP 5%; Both 3%
REW264_PAY_HOLPAYMETHOD,F3/F4-target,Practice,159,52-week average=55;Accrual per GB regs=25;Rolled-up 12.07%=15;Unsure=5,52-week average 55%; Accrual per GB regs 25%; Rolled-up 12.07% 15%; Unsure 5%
REW264_PAY_STARTPOLICY,F5-jitter,Practice,40,,No policy 61%; At/below range mid 15%; Range minimum to mid 13%; Anywhere in range 11%
REW264_PEN_AEDEFAULT,F5-jitter,Level,32,,Statutory minimum only 71%; Not applicable (no DC sc 8%; 1-2pp above 8%; 3pp+ above 6%; Opt-up default (auto-esc 6%
REW264_PEN_AUTOESC,F5-jitter,Level,12,,No 64%; Yes default 20%; Yes opt-in 16%
REW264_PEN_CONTRIBFLEX,F5-jitter,Level,16,,No 76%; Yes formal flexibility 13%; Informal 11%
