id,type,polarity,grade,anchor,offer_na,n_options,seed_rule
REW264_GOV_AIPAYREVIEW,single_select,higher_is_better,A,31% of employers reflect AI proficiency in pay decisions,False,4,track-anchor
REW264_PEN_SALSACIMPACT,single_select,higher_is_better,A,51% of employers believe the £2k sal-sac cap will increase t,True,4,track-anchor
REW264_PEN_SALSACRESPONSE,single_select,neutral,E,No published intention split yet (maintain/restructure/withd,True,5,conservative-haircut
REW264_PEN_NICSHARING,single_select,higher_is_better,E,Pass-through sharing prevalence unpublished,True,4,conservative-haircut
REW264_PEN_CONTRIBTIER,single_select,higher_is_better,E,Tenure/age tiering prevalence unpublished; DC surveys report,True,4,conservative-haircut
REW264_PEN_AEDEFAULT,single_select,higher_is_better,—,Majority of AE savers understood to sit at statutory default,True,5,unanchored-conservative
REW264_PEN_AUTOESC,single_select,higher_is_better,—,UK employer adoption low; trial-stage,False,3,unanchored-conservative
REW264_PEN_PENLEAVEGAP,single_select,higher_is_better,E,Employer contribution during unpaid parental/carer leave unp,False,3,conservative-haircut
REW264_PEN_MIDLIFEMOT,single_select,higher_is_better,—,Employer-offered midlife MOT counts may exist,False,3,unanchored-conservative
REW264_PEN_GREENDEFAULT,single_select,higher_is_better,—,Share of DC defaults with net-zero commitment,True,5,unanchored-conservative
REW264_PEN_CONTRIBFLEX,single_select,higher_is_better,E,Flex-down-with-restore prevalence: provider research only,False,3,conservative-haircut
REW264_PEN_SIDECAR,multi_select,higher_is_better,E,Sidecar/emergency-savings at trial stage; no prevalence,False,4,conservative-haircut
REW264_PEN_HELPTOSAVE,single_select,higher_is_better,E,Employer signposting unpublished; HMRC publishes account sta,False,3,conservative-haircut
REW264_PEN_PAYROLLLOANS,single_select,higher_is_better,—,Payroll-deducted loan scheme prevalence,False,4,unanchored-conservative
REW264_PEN_PAYROLLGIVING,single_select,higher_is_better,A,"~4,000 organisations provide payroll giving of 45,000+ that ",False,3,track-anchor
REW264_WEL_EWA,single_select,higher_is_better,A,~4m UK workers covered by EWA (Apr 2026); CIPP Code of Pract,False,4,track-anchor
REW264_WEL_EWAFEES,single_select,higher_is_better,E,Fee-model split unpublished,True,4,conservative-haircut
REW264_WEL_EWACAP,single_select,higher_is_better,E,Cap-design prevalence unpublished,True,4,conservative-haircut
